customer_id,customer_name,email,country,segment,signup_date,monthly_revenue,seats,status
C1095,Lucia Petrova,lucia.petrova@northwind.io,BE,smb,"Jan 17, 2025",395.02,5,ACTIVE
C1144,  HASSAN MORENO  ,hassan.moreno@acme-parts.com,netherlands,smb,09/02/2025,104.02,12,active
C1075,Greta Ibrahim,greta.ibrahim@bluefin.de,BE,Enterprise,"Mar 11, 2024",106.58,40,ACTIVE
C1102,Amara Haddad,amara.haddad@verta.fr,BE,smb,2025-08-13,198.88,40,active
C1116,  AMARA HADDAD  ,amara.haddad@hexon.co.uk,UK,enterprise,04/03/2024,124.52,2,active
C1172,"Bergman, Diego",diego.bergman@hexon.co.uk,NL,SMB,2024-07-07,143.20,2,Paused
C1059,  DIEGO ROMANO  ,diego.romano@verta.fr,United Kingdom,enterprise,"Sep 27, 2024",610.18,-3,Active
C1184,"Nair, Maya",MAYA.NAIR@NORTHWIND.IO,netherlands,enterprise,"Aug 29, 2024",132.67,40,Active
C1166,  NOOR NOVOTNY  ,noor.novotny@northwind.io,United Kingdom,Mid-Market,2025-12-29,484.08,12,Active
C1126,Lucia Duarte,lucia.duarte@verta.fr,Belgium,Small Business,2025-06-04,EUR 383.01,8,Churned
C1104,"Lindqvist, Ines",ines.lindqvist@kestrel-logistics.nl,Netherlands,enterprise,"Nov 24, 2024",485.68,1,active
C1030,Ines Okafor,ines.okafor@kestrel-logistics.nl,DE,enterprise,2025-12-31,53.73,25,churned
C1154,Noor Moreno,noor.moreno@acme-parts.com,U.K.,Mid-Market,2024-12-26,54.25,12,Churned
C1057,  HASSAN SOKOLOV  ,hassan.sokolov@kestrel-logistics.nl,DE,enterprise,2024-02-19,EUR 891.89,25,Active
C1034,Amara Walsh,amara.walsh@verta.fr,germany,Small Business,2024-03-04,1140.18,8,Paused
C1028,Lucia Romano,lucia.romano@acme-parts.com,BE,smb,0000-00-00,690.64,5,churned
C1037,Amara Weber,amara.weber@bluefin.de,Germany,SMB,2024-09-05,,25,trial
C1106,Owen Vasquez,owen.vasquez@kestrel-logistics.nl,United Kingdom,ENT,02/03/2024,55.53,3,churned
C1046,Noor Romano,noor.romano @ acme-parts.com,DE,Enterprise,"Apr 04, 2025",45.33,2,Paused
C1002,Nadia Sokolov,nadia.sokolov @ northwind.io,United Kingdom,Small Business,27/05/2024,58.35,2,Paused
C1160,Karel Karim,karel.karim@bluefin.de,netherlands,enterprise,2025-06-25,122.45 EUR,1,trial
C1139,"Vasquez, Liam",liam.vasquez@northwind.io,NL,smb,0000-00-00,147.90,25,churned
C1131,Bruno Duarte,bruno.duarte@verta.fr,DE,Enterprise,"Jul 18, 2025",45.11,25,Paused
C1103,Noor Haddad,noor.haddad@northwind.io,netherlands,SMB,15/11/2025,1083.43,25,Trial
C1187,Sofia Vasquez ,SOFIA.VASQUEZ@VERTA.FR,Germany,smb,2025-12-29,,25,trial
C1190,"Nair, Felix ",FELIX.NAIR@ACME-PARTS.COM,France,MM,2025-10-13,,3,churned
C1032,Lucia Costa,lucia.costa@verta.fr,germany,ENT,2025-07-17,153.15,5,trial
C1183,Felix Okafor ,FELIX.OKAFOR@NORTHWIND.IO,netherlands,Mid-Market,19/09/2025,114.75,3,Active
C1013,Maya Moreno,maya.moreno@northwind.io,germany,ENT,26/10/2024,553.64 EUR,40,trial
C1151,"Novotny, Lucia",lucia.novotny@kestrel-logistics.nl,NL,Mid-Market,2024-01-28,"EUR 1,318.71",25,Churned
C1012,Sofia Lindqvist,sofia.lindqvist@verta.fr,BE,Small Business,2024-05-10,655.31,0,active
C1070,Bruno Ibrahim,bruno.ibrahim@northwind.io,Germany,Mid-Market,2024-04-14,137.80,5,churned
C1072,Tomas Sokolov,tomas.sokolov@verta.fr,Belgium,Enterprise,23/09/2024,375.72,0,ACTIVE
C1140,Felix Nair,felix.nair @ acme-parts.com,Netherlands,smb,"May 10, 2025",119.81,3,Churned
C1111,Ines Okafor,ines.okafor@bluefin.de,Germany,smb,2024-05-28,158.23,5,Active
C1182,Karel Haddad,karel_haddad@verta.fr,Netherlands,enterprise,2024-01-22,191.41,1,active
C1052,"Moreno, Noor",noor.moreno@verta.fr,NL,Mid-Market,2025-11-19,562.81,8,Trial
C1068,Greta Ferreira,greta.ferreira @ verta.fr,U.K.,Enterprise,12/07/2025,288.07,1,ACTIVE
C1189,Karel Weber,karel_weber@bluefin.de,DE,Enterprise,2025-04-08,910.21,8,trial
C1010,Tomas Costa,tomas.costa@northwind.io,France,SMB,2024-08-20,63.46,12,Trial
C1105,"Walsh, Ines",ines.walsh @ verta.fr,Netherlands,SMB,09/04/2025,1198.36,1,Active
C1055,  YUKI VASQUEZ  ,yuki.vasquez@kestrel-logistics.nl,netherlands,ENT,2025-09-20,689.70,5,ACTIVE
C1108,  NADIA LINDQVIST  ,nadia.lindqvist@kestrel-logistics.nl,Germany,ENT,2024-11-29,63.02 EUR,40,Paused
C1041,Greta Karim,,BE,Enterprise,2025-04-29,,25,active
C1167,"Weber, Yuki",yuki.weber@kestrel-logistics.nl,Belgium,SMB,01/11/2024,156.78,8,Churned
C1033,Noor Tanaka,noor.tanaka@acme-parts.com,FR,MM,2024-08-13,289.97 EUR,2,Churned
C1180,Nadia Tanaka,nadia.tanaka@bluefin.de,France,MM,"Dec 11, 2025",1183.24,8,active
C1112,"Novak, Amara",amara.novak@bluefin.de,United Kingdom,Mid-Market,"Sep 26, 2025",EUR 338.51,1,active
C1014,Maya Moreno,maya.moreno@hexon.co.uk,netherlands,Small Business,2025-09-15,361.66 EUR,40,Active
C1147,"Okafor, Ines",ines.okafor@kestrel-logistics.nl,Netherlands,Mid-Market,16/09/2025,46.24,25,Active
C1113,Owen Karim,owen.karim@verta.fr,UK,enterprise,2025-03-07,1153.42,2,active
C1155,  ELENA OKAFOR  ,elena.okafor@hexon.co.uk,NL,smb,2024-01-21,-120.00,5,active
C1129,Marcus Romano,marcus.romano@northwind.io,BE,MM,21/06/2024,62.41,40,Trial
C1121,Felix Vasquez,felix.vasquez@hexon.co.uk,France,Mid-Market,2025-06-09,60.21,2,Churned
C1078,Elena Lindqvist,elena.lindqvist@northwind.io,FR,ENT,02/04/2024,"113,58",2,Churned
C1165,"Novotny, Owen",owen.novotny@acme-parts.com,Belgium,SMB,10/01/2024,1036.52,2,Active
C1105,"Walsh, Ines",ines.walsh @ verta.fr,Netherlands,SMB,09/04/2025,1198.36,1,Active
C1017,Tomas Haddad,tomas.haddad@bluefin.de,germany,Mid-Market,2025-12-24,EUR 106.75,-3,Trial
C1044,  TOMAS WALSH  ,tomas.walsh@acme-parts.com,DE,smb,"Mar 12, 2025",93.87,5,Churned
C1073,Ines Okafor,ines.okafor@bluefin.de,Germany,enterprise,2024-08-11,64.86,1,Trial
C1194,Greta Sokolov ,GRETA.SOKOLOV@ACME-PARTS.COM,United Kingdom,Small Business,02/04/2025,EUR 50.07,8,Active
C1029,Hassan Moreno,hassan.moreno@verta.fr,Belgium,SMB,2024-08-24,89.28,3,active
C1060,Felix Okafor,felix.okafor@northwind.io,netherlands,Mid-Market,19/09/2025,114.75,3,Active
C1148,Amara Duarte,amara.duarte @ kestrel-logistics.nl,Germany,Small Business,0000-00-00,EUR 640.51,3,Trial
C1109,Hassan Haddad,hassan.haddad@verta.fr,UK,ENT,2024-12-26,472.82,8,ACTIVE
C1061,  KAREL WEBER  ,karel.weber@bluefin.de,DE,Enterprise,2025-04-08,910.21,8,trial
C1137,Lucia Lindqvist,lucia.lindqvist@northwind.io,germany,SMB,2025-09-25,61.30,3,Churned
C1123,  PRIYA TANAKA  ,priya.tanaka@verta.fr,Germany,Mid-Market,26/01/2024,EUR 201.60,5,Active
C1024,Sofia Sokolov,sofia.sokolov@northwind.io,BE,Small Business,02/02/2025,188.05,25,ACTIVE
C1092,Noor Romano,,Netherlands,SMB,"Jul 24, 2024",57.76,2,active
C1050,  LIAM WEBER  ,liam.weber@bluefin.de,netherlands,Small Business,2025-05-31,46.77,5,Active
C1133,  DIEGO BERGMAN  ,diego.bergman@acme-parts.com,netherlands,Small Business,2025-03-25,313.31,5,Paused
C1152,  AMARA NAIR  ,amara.nair@verta.fr,BE,Enterprise,11/03/2025,646.41,3,Trial
C1077,  GRETA NOVAK  ,greta.novak@hexon.co.uk,Netherlands,Enterprise,0000-00-00,"60,17",5,ACTIVE
C1022,  DIEGO OKAFOR  ,diego.okafor@verta.fr,U.K.,ENT,"Nov 12, 2025",509.53,0,Trial
C1171,Diego Novak,diego.novak @ northwind.io,France,Small Business,"Aug 26, 2024",202.04,5,trial
C1040,Noor Ferreira,noor.ferreira@kestrel-logistics.nl,Belgium,enterprise,2025-04-23,EUR 167.06,25,Churned
C1088,Greta Costa,,FR,SMB,2024-09-26,196.18,8,Paused
C1008,Noor Okafor,,DE,enterprise,31/07/2024,539.96 EUR,40,ACTIVE
C1067,Nadia Karim,nadia.karim@hexon.co.uk,netherlands,smb,"Aug 07, 2024",1270.57,2,trial
C1193,Maya Moreno ,MAYA.MORENO@NORTHWIND.IO,germany,ENT,26/10/2024,553.64 EUR,40,trial
C1018,"Costa, Maya",maya.costa@acme-parts.com,FR,Small Business,2024-04-17,190.41,8,Paused
C1168,Felix Karim,felix.karim@verta.fr,United Kingdom,SMB,2024-12-15,1046.56,12,Paused
C1150,Diego Vasquez,diego.vasquez@acme-parts.com,netherlands,ENT,10/07/2025,540.32 EUR,3,Churned
C1007,Diego Ibrahim,diego.ibrahim@verta.fr,Belgium,Mid-Market,27/11/2025,55.90,40,Active
C1141,  BRUNO IBRAHIM  ,bruno.ibrahim@kestrel-logistics.nl,germany,MM,2025-10-01,-120.00,40,Paused
C1119,Ines Lindqvist,ines.lindqvist@acme-parts.com,Germany,Mid-Market,2025-01-31,EUR 50.94,3,ACTIVE
C1021,"Novotny, Maya",maya.novotny@bluefin.de,United Kingdom,ENT,21/05/2025,"997,51",3,Active
C1173,Sofia Petrova,sofia.petrova@kestrel-logistics.nl,FR,Enterprise,2024-05-23,EUR 679.79,12,churned
C1110,  OWEN HADDAD  ,owen.haddad@hexon.co.uk,DE,smb,2025-08-08,396.43,12,trial
C1089,  HASSAN WEBER  ,hassan.weber@hexon.co.uk,Belgium,MM,2024-08-27,"993,26",40,Trial
C1047,Bruno Nair,bruno.nair@verta.fr,germany,Small Business,2025-09-26,"49,10",5,trial
C1162,Hassan Novotny,hassan.novotny@northwind.io,UK,ENT,2024-09-15,58.57,8,active
C1064,Liam Ferreira,liam.ferreira@acme-parts.com,FR,Mid-Market,"Jun 30, 2025",,2,churned
C1174,Liam Tanaka,liam.tanaka@bluefin.de,NL,MM,22/04/2024,EUR 62.40,1,active
C1177,Tomas Ferreira,tomas.ferreira@northwind.io,NL,smb,01/10/2025,"1177,37",1,Trial
